
campaigncutscene_tooltip 				(Κάνε κλικ για να ξεκινήσει το επόμενο κεφάλαιο της ιστορίας)
epilogue_outro_4						Πιστεύω ότι όλοι οι άνθρωποι έχουν την προοπτική να βελτιωθούν. Και εμείς πρέπει να τους προσφέρουμε την ευκαιρία να το κάνουν.
epilogue_outro_4b 						Μπορώ να πω με απόλυτη βεβαιότητα ότι έχω δει πραγματική βελτίωση στη συμπεριφορά και τις ελπίδες πολλών κρατουμένων αυτού του ιδρύματος.
epilogue_outro_5						Η κάθειρξη θα πρέπει να είναι αποτρεπτικό μέσο. Όχι μια ευκαιρία για ανάπτυξη και αλλαγή της προσωπικότητας.
epilogue_outro_6 						Το μόνο που καταφέρνουμε με το να τους τιμωρούμε και τους αποκτηνώνουμε είναι να τροφοδοτούμε τις εγκληματικές συμπεριφορές.  

epilogue_outro_7						Δίνουμε σε αυτούς τους άντρες πολύτιμες δεξιότητες, αλλά το σημαντικότερο όλων είναι ότι τους δίνουμε ελπίδα.
epilogue_outro_7b  						Τους βοηθούμε να αφομοιωθούν ξανά στην κοινωνία και να συμβάλλουν σε αυτή μετά την αποφυλάκισή τους.
epilogue_outro_8						Οι απλοί πολίτες δεν λαμβάνουν δωρεάν εκπαίδευση. Ούτε δωρεάν παιδεία. Ούτε εγγυημένη εργασία επί πληρωμή.  
epilogue_outro_8b 						Παραμελούμε τα θύματα του εγκλήματος και ανταμείβουμε εκείνους που το διαπράττουν.
epilogue_outro_8c 						Ξοδεύοντας τεράστια ποσά, μόνο και μόνο για να κάνουμε τους εγκληματίες να νιώσουν καλά με τον εαυτό τους.
epilogue_outro_9						Μπορούμε να κάνουμε τη διαφορά, ακόμα και αν πρέπει να γίνει με ένα άτομο τη φορά.
epilogue_outro_10						Αυτοί οι άντρες δεν έχουν κερδίσει τα προνόμια που τους παρέχονται. Δεν έχουν κερδίσει τα προνόμιά τους.
epilogue_outro_11						Και εκατό φορές να πεις σε έναν κεραμιδόγατο να αφήσει ήσυχα τα πουλιά στην αυλή σου, αυτός θα συνεχίσει.
epilogue_outro_12 						Είναι στη φύση του.

epilogue_sandbox_1                      Θα ήθελα να σε συγχαρώ για την ανάληψη των νέων σου καθηκόντων ως Διευθύνων Σύμβουλος. Αυτή είναι μια μεγάλη ευκαιρία. Μια νέα αρχή.
epilogue_sandbox_2                      Θα έχεις λίγο-πολύ πλήρη αυτονομία. Περισσότερους κρατουμένους. Υψηλότερα ποσοστά υποτροπής. Σε περιμένουν πολλές προκλήσεις.
epilogue_sandbox_3						Όσο για τις εγκαταστάσεις εκτελέσεων, μπορείς να τις γκρεμίσεις ή να τις κρατήσεις και να τις χρησιμοποιήσεις. Από σένα εξαρτάται. Αν δεν αναλάβεις εσύ αυτή την επιχείρηση, θα βρεθεί κάποιος άλλος να το κάνει.  
epilogue_sandbox_4						Όσο για στόχους, σου δίνω τους ίδιους που είχα δώσει και στον προκάτοχό σου: κέρδη, χαμηλά ποσοστά υποτροπής, χωρητικότητα.  
epilogue_sandbox_5 						Από σένα εξαρτάται το πώς θα τους πετύχεις.
epilogue_sandbox_5b                     Κάτι τελευταίο. Ο προηγούμενος Διευθύνων Σύμβουλος Τσαρλς Ουάλας άφησε μια επιστολή που συνήθιζε να δίνει στους καινούργιους αρχιτέκτονες φυλακών που προσλάμβανε η εταιρεία.
epilogue_sandbox_5c                     Ο Ουάλας έδινε πάντα καλές συμβουλές. Μπορεί να σου φανεί χρήσιμο να ρίξεις μια ματιά στην επιστολή.
epilogue_sandbox_6						Καλή τύχη!

objective_epilogue_grants				Συγκέντρωσε χρήματα μέσω του συστήματος Επιδοτήσεων
objective_epilogue_grants_description   Οι Επιδοτήσεις είναι μία από τις κυριότερες μεθόδους συγκέντρωσης μεγάλων χρηματικών ποσών, που είναι απαραίτητα για το χτίσιμο μιας φυλακής.\n\nΜπορείς να βρεις μια ολόκληρη σειρά από επιδοτήσεις στις Αναφορές (κάτω δεξιά γωνία της οθόνης), στην ενότητα «Επιδοτήσεις». Διάφορες υπηρεσίες θα σου προσφέρουν χρήματα για να κατασκευάσεις συγκεκριμένα τμήματα της φυλακής σου από το μηδέν.

objective_epilogue_certifiedprison		Χτίσε μια φυλακή
objective_epilogue_capacity				Τουλάχιστον 100 κρατούμενοι  
objective_epilogue_bankbalance			Τραπεζικό υπόλοιπο τουλάχιστον 100.000 $  
objective_epilogue_cashflow				Θετική καθαρή ταμειακή ροή

epilogue_outrointro_1                   Βλέπω ότι έκανες μια καλή αρχή.
epilogue_outrointro_2                   Αν βρίσκεσαι κοντά σε τηλεόραση, άνοιξέ τη. Θέλω να δεις κάτι.

epilogue_basiccompletion_1 				Ικανοποίησες τις ελάχιστες απαιτήσεις μια πολιτειακής φυλακής. Από σένα εξαρτάται ποια κατεύθυνση θα ακολουθήσεις από δω και μπρος.
epilogue_basiccompletion_2 				Σε αυτό το σημείο εσύ και η εταιρεία σου αποφασίζετε πώς θα προχωρήσετε.
epilogue_basiccompletion_3 				Στο γραφείο του Δημάρχου μάς ενδιαφέρει μόνο ένας αριθμός: το ποσοστό υποτροπής.
epilogue_basiccompletion_4	 			Αν μπορέσεις να μειώσεις τα ποσοστά υποτροπής των κρατουμένων σου, θα το θεωρούσα επιτυχία.
epilogue_basiccompletion_5 				Άνθρωποι όπως ο Δρ. Χερστ πιστεύουν ότι αυτό μπορείς να το καταφέρεις μόνο με τη βοήθεια της εκπαίδευσης, της αναμόρφωσης, της εκμάθησης ικανοτήτων και παρόμοιων τακτικών.
epilogue_basiccompletion_6 				Εγώ πιστεύω ότι η τιμωρία μπορεί να είναι εξίσου αποτελεσματική.
epilogue_basiccompletion_8 				Από σένα εξαρτάται. Σου εύχομαι καλή τύχη!

objective_epilogue_reoffending			(ΠΡΟΑΙΡΕΤΙΚΟ) Μείωσε το ποσοστό υποτροπής της φυλακής.
objective_epilogue_reoffending_description	Μπορείς να δεις το ποσοστό υποτροπής στην οθόνη «Βαθμολογία φυλακής». Κάνε κλικ στο εικονίδιο στο πάνω αριστερά μέρος της οθόνης.

objective_epilogue_reoffending_rate		Μείωσε το ποσοστό υποτροπής στο 30%.
objective_epilogue_reoffending_released	Βοήθησε στην αποφυλάκιση τουλάχιστον 10 κρατουμένων


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Εξαγωγή φυλακής για το Minecraft
codex_mcexportname						Εργαλείο εξαγωγής Minecraft
codex_worldnametitle					Όνομα κόσμου
codex_seedtitle							Φύτρα
codex_gamemodetitle						Λειτουργία παιχνιδιού
codex_mapfeattitle						Χαρακτηριστικά χάρτη
codex_cheatstitle						Κόλπα
codex_timeofdaytitle					Χρόνος ημέρας
codex_rainingtitle						Βροχή
codex_thunderingtitle					Αστραπές
codex_generatortitle					Γεννήτρια
codex_scaletitle						Κλίμακα
codex_exporttomc						Εξαγωγή
codex_mcexport_default					Προεπιλογή
codex_mcexport_flat						Επίπεδος
codex_mcexport_largebiomes				Μεγάλες διαπλάσεις
codex_mcexport_survival					Επιβίωση
codex_mcexport_creative					Δημιουργική
codex_mcexport_adventure				Περιπέτεια


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   Απόδραση – Η μοναδική διέξοδος
escapemode_help                         Βήμα πρώτο: Φήμη – Η φήμη σου είναι το παν εδώ μέσα. \n\n• Αύξησε τη φήμη σου ξεκινώντας καυγάδες. Αν κάνεις κακό σε ανθρώπους θα τραβήξεις σίγουρα την προσοχή, αλλά ίσως είναι καλύτερα να ξεκινήσεις με το να σπας αντικείμενα. Όσο περισσότερη ζημιά προκαλέσεις σε έναν καυγά, τόσο το καλύτερο.\n• Μην αφήνεις μάρτυρες. Αν σε εντοπίσει ένας φύλακας να προκαλείς μπελάδες, θα τιμωρηθείς, εκτός βέβαια αν ο φύλακας δεν είναι σε θέση να το πει σε κανέναν...\n• Αν σε ρίξουν αναίσθητο, θα χάσεις κύρος. Καλύτερα να ξεκινάς καυγάδες μόνο όταν έχεις καλές πιθανότητες να τους κερδίσεις.\n\nΒήμα δεύτερο: Ομάδα – Στρατολόγησε άλλους κρατούμενους για να λάβουν μέρος στην απόπειρα απόδρασής σου.\n\n• Σφύρα τους για να τους καλέσεις κοντά σου και θα σε ακολουθούν όπου πηγαίνεις. (Κάνε κλικ στο όνομά τους, πάνω αριστερά).\n• Θα παίρνουν μέρος και σε καυγάδες, πράγμα που μπορεί να σε βοηθήσει να αυξήσεις ακόμα γρηγορότερα τη φήμη σου.\n• Εκπαίδευσε την ομάδα σου. Ποτέ δεν ξέρεις πότε θα σου φανεί χρήσιμο να έχεις μαζί έναν ικανό μαχητή ή έναν φοβερό δρομέα.\n\nΒήμα τρίτο: Λαθραία είδη – Θα χρειαστείς όπλα και εργαλεία\n\n• Βρες ένα δωμάτιο που περιέχει ένα αντικείμενο που θες να πάρεις. Ρίξε μια γρήγορη ματιά και θα βρεις σίγουρα κάτι χρήσιμο να σουφρώσεις.\n• Πρόσεχε τους ανιχνευτές μετάλλων και τους φύλακες που θέλουν να σε ψάξουν. Αν βρουν κάτι αντικανονικό πάνω σου, θα σε ρίξουν με συνοπτικές διαδικασίες στην απομόνωση.\n• Κρύψε τον εξοπλισμό σου. Μπορείς να κρύβεις ό,τι βρίσκεις στο κελί σου ή στα κελιά άλλων κρατουμένων, αρκεί να θυμάσαι πού αφήνεις κάθε τι.\n\nΒήμα τέταρτο: Σήραγγες – Η διακριτική διέξοδος\n\n• Πιάσε ένα εργαλείο για σκάψιμο και ξεκίνα μια σήραγγα από την τουαλέτα του κελιού σου.\n• Το σκάψιμο είναι αργή διαδικασία. Βάλε τα μέλη της ομάδας σου να σε βοηθήσουν.\n• Πρόσεχε μη σε εντοπίσουν. Αν ένας φύλακας σε δει να μπαίνεις ή να βγαίνεις από σήραγγα, η απόπειρα απόδρασής σου θα αποκαλυφτεί.\n\nΚαλή σου τύχη. Θα τη χρειαστείς.

codex_escapemode                        Λειτουργία απόδρασης
codex_escapemode_developer              (Προγραμματιστής) Λειτουργία απόδρασης
codex_escapemode_new                    Νέα απόπειρα απόδρασης
codex_escapemode_load                   Φόρτωση απόπειρας απόδρασης
codex_escapemode_save                   Αποθήκευση απόπειρας απόδρασης
codex_escapemode_workshop               Λειτουργία απόδρασης (Εργαστήρι Steam)
codex_escapemode_workshop_star_rating   *S Αστέρια και πάνω

escapemode_combat_attack                Επίθεση
escapemode_combat_attack_button         Αριστερό κλικ
escapemode_combat_lunge                 Σάλτο
escapemode_combat_lunge_button          Shift
escapemode_dig_button                   Αριστερό κλικ παρατεταμένα
escapemode_dig                          Σκάψιμο
escapemode_surrender                    Παράδοση
escapemode_surrender_safe               Τέλος καυγά
escapemode_surrender_button             Space

escapemode_gameover                     Τέλος παιχνιδιού

escapemode_reputation_points            Πόντοι φήμης:
escapemode_reputations_cost             *C πόντοι φήμης
escapemode_reputations_max              ΜΕΓΙΣΤΟ

escapesquad_squad_member                Μέλος ομάδας
escapesquad_recruitment                 Δεξί κλικ παρατεταμένα για στρατολόγηση
escapesquad_recruitment_cost            Κόστος πόντων φήμης: *C
escapesquad_toggle_follow               Εναλλαγή ακολούθησης
escapesquad_nameplate_following         Ακολούθηση
escapesquad_skip_punishments            Παράλειψη τιμωριών
escapesquad_skip_punishments_tooltip    Ξόδεψε έναν πόντο φήμης για να βάλεις όλα τα μέλη της ομάδας σου να κοιμηθούν μέχρι να τελειώσουν οι τιμωρίες τους και να ξυπνήσουν στα κελιά τους.
escapesquad_sleep                       Ύπνος
escapesquad_sleep_tooltip               Κάνε κλικ για να κοιμηθείς όλη τη νύχτα.
escapesquad_reputations                 Φήμη
escapesquad_reputations_tooltip         Ξόδεψε πόντους φήμης για να βελτιώσεις την ικανότητα μάχης της ομάδας σου.  
escapesquad_follow_mode                 Λειτουργία ακολούθησης
escapesquad_follow_mode_tooltip         Οι κρατούμενοι σε λειτουργία ακολούθησης θα σε ακολουθούν και θα μιμούνται τα παραπτώματά σου.\n\nΧρησιμοποίησε το R για να κάνεις εναλλαγή λειτουργίας ακολούθησης για όλους τους κρατουμένους ταυτόχρονα.
escapesquad_remove_member               Αφαίρεση μέλους ομάδας
escapesquad_remove_member_tooltip       Κάνε κλικ για να αφαιρέσεις αυτόν τον κρατούμενο από την ομάδα σου.
escapesquad_escaped                     Απέδρασε

escapemode_info_right_click             Δεξί κλικ
escapemode_info_hold_right_click        Δεξί κλικ παρατεταμένα
escapemode_info_stash                   για να κρύψεις λαθραία
escapemode_info_pick_up                 για να πάρεις λαθραίο είδος
escapemode_info_start_tunnel            για να ξεκινήσεις σήραγγα
escapemode_info_enter_tunnel            για να μπεις σε σήραγγα
escapemode_info_exit_tunnel             για να βρεις από σήραγγα
escapemode_info_dig_up                  για να σκάψεις προς τα πάνω
escapemode_info_steal                   για να κλέψεις

escapemode_info_tool                    [Εργαλείο σκαψίματος]
escapemode_info_damage                  Ζημιά: *D
escapemode_info_recharge                Χρόνος επαναφόρτισης: *T

escapemode_gameover                     Τέλος παιχνιδιού
escapemode_gameover_squad_title         Ομάδα
escapemode_gameover_casualties_title    Θύματα
escapemode_gameover_totalscore_title    Συνολικό σκορ
escapemode_gameover_totaltime_title     Χρόνος
escapemode_gameover_time_days           *D ημέρες, *H ώρες και *M λεπτά
escapemode_gameover_time                *H ώρες και *M λεπτά

codex_workshop_select_random_prison     Τυχαία Φυλακή Εργαστηρίου
codex_workshop_searching                Αναζήτηση...


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         Βίβλος Παιχνιδιού
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              Σελίδα *X
codex_gamebible_doublepage              Σελίδες *X-*Y
object_collectable                      Σελίδα σημειωματάριου
